ticket_id,customer_id,issue_type,resolution_time_minutes,csat_score
S6365572,C004069,App Issue,75,2
S9921692,C016696,Membership Cancellation,116,1
S2083806,C015443,Billing,221,4
S3741598,C014572,Service Quality,187,2
S5537755,C017194,App Issue,12,5
S5308273,C015452,Billing,132,2
S2555420,C016773,App Issue,51,2
S1955934,C003402,Membership Cancellation,207,5
S7527214,C002615,Billing,226,1
S8711689,C014090,Service Quality,70,2
S5355272,C016685,Billing,179,3
S9314983,C005786,Billing,15,5
S7289731,C002706,App Issue,235,3
S1189510,C005542,Service Quality,101,2
S6619609,C006660,Billing,104,4
S4525231,C018177,Membership Cancellation,37,4
S4183414,C009594,Service Quality,207,1
S8694163,C014424,Billing,105,3
S4806364,C001471,Billing,195,4
S8850638,C003782,Billing,73,1
S7443331,C001781,Billing,96,1
S5253625,C011742,Service Quality,182,1
S4500163,C005769,Service Quality,8,1
S6151800,C001228,App Issue,124,4
S1198528,C007351,App Issue,122,5
S5042035,C005415,Billing,76,1
S4829795,C012739,App Issue,199,4
S9423016,C002640,App Issue,169,2
S6995559,C004468,Billing,25,4
S2017891,C018888,App Issue,164,5
S3211270,C007053,Billing,181,1
S5046613,C012776,Billing,53,4
S4970817,C015354,Membership Cancellation,198,3
S1885723,C019458,Billing,206,2
S1212735,C010744,Membership Cancellation,155,3
S9771550,C018469,Membership Cancellation,149,3
S2618242,C014426,Billing,198,2
S1440541,C015275,Billing,58,3
S5558707,C012840,Membership Cancellation,35,2
S7559526,C019146,App Issue,122,2
S4356038,C005243,Membership Cancellation,121,2
S6695954,C018353,Membership Cancellation,140,2
S5921069,C006098,Membership Cancellation,68,2
S9020917,C005574,Billing,191,5
S1905575,C007323,App Issue,101,4
S6670455,C003875,Billing,133,5
S1418580,C004039,Membership Cancellation,99,5
S7218979,C000933,Membership Cancellation,76,2
S5564212,C002413,App Issue,134,5
S5370516,C000564,Service Quality,81,5
S7265059,C013633,Membership Cancellation,171,5
S3737792,C011065,Membership Cancellation,89,3
S8735568,C003474,Service Quality,115,3
S8171461,C017473,App Issue,77,1
S1891735,C013414,Service Quality,235,1
S6572178,C004939,App Issue,130,2
S9733439,C000992,Service Quality,220,1
S3924521,C001439,App Issue,170,3
S1392333,C017661,Billing,32,1
S7502339,C003261,Membership Cancellation,140,2
S4293093,C015372,Membership Cancellation,96,5
S2896232,C017017,Service Quality,22,2
S3858888,C001606,App Issue,166,3
S8225863,C002457,Billing,26,5
S2799459,C019718,App Issue,34,2
S1232472,C000354,Billing,205,4
S1828119,C013165,Billing,12,3
S3191970,C008500,App Issue,11,3
S5434071,C007315,Billing,51,5
S4262623,C001158,Service Quality,228,3
S5563298,C005885,Billing,38,2
S4003887,C001609,Membership Cancellation,189,1
S4578852,C001659,Billing,75,4
S9780923,C004087,Service Quality,211,2
S7117044,C010135,Billing,194,4
S6859583,C013347,Membership Cancellation,222,5
S8569173,C016765,Billing,104,4
S3230542,C016522,Service Quality,148,5
S1913503,C018264,Service Quality,194,3
S2791205,C000849,Billing,37,5
S5905005,C016188,Membership Cancellation,143,2
S4338564,C017129,Billing,232,3
S2520107,C003572,App Issue,110,4
S3872037,C018236,App Issue,133,5
S7421174,C006267,Billing,234,2
S2786398,C003231,App Issue,159,4
S1944165,C009658,Membership Cancellation,61,1
S6494027,C010682,App Issue,114,4
S6236539,C005262,Service Quality,73,1
S4208359,C012851,App Issue,82,5
S6507227,C013973,Service Quality,154,2
S2018005,C009303,Service Quality,11,5
S6320150,C005787,App Issue,96,3
S7556302,C013261,App Issue,19,2
S8677015,C002850,Billing,77,4
S9930522,C007978,App Issue,136,3
S9949155,C019988,Service Quality,224,1
S6726250,C013179,Billing,151,1
S3039188,C007737,Billing,94,3
S9139575,C003378,Membership Cancellation,77,1
S4564022,C002791,Service Quality,121,2
S1190494,C012286,Service Quality,71,2
S6966875,C012538,Membership Cancellation,230,4
S7894295,C007684,App Issue,23,1
S3701376,C000772,App Issue,163,5
S9188699,C005277,Billing,95,1
S7420940,C014940,Membership Cancellation,209,5
S3643333,C010416,Service Quality,223,4
S5759671,C017209,Billing,239,2
S8674598,C007134,Service Quality,209,2
S5364970,C014944,Billing,121,5
S4836668,C013110,Membership Cancellation,195,4
S4014171,C001019,App Issue,67,2
S6764516,C008444,Service Quality,70,4
S6988645,C018530,Service Quality,110,1
S5407239,C010666,Service Quality,197,2
S4693877,C010540,Service Quality,212,1
S9000266,C007404,Membership Cancellation,184,5
S5304832,C007146,Billing,111,3
S3310572,C004653,Membership Cancellation,114,5
S7771066,C001846,Service Quality,23,1
S2678685,C015021,Membership Cancellation,9,3
S9738357,C004201,Membership Cancellation,177,1
S6666231,C018815,App Issue,95,3
S3431353,C014812,App Issue,148,1
S1904723,C015613,Billing,221,5
S8664588,C008536,Membership Cancellation,171,1
S2151001,C017531,Membership Cancellation,175,4
S1421084,C005945,Billing,12,2
S2655282,C017144,Membership Cancellation,108,3
S1435175,C008510,Billing,141,2
S5816042,C014955,Service Quality,40,5
S4579877,C014175,Billing,170,2
S5842054,C016831,App Issue,232,1
S3934900,C000542,Membership Cancellation,179,1
S6499436,C009087,Service Quality,20,1
S8767943,C013669,Billing,152,2
S7622142,C016970,Service Quality,129,4
S9399444,C001077,App Issue,27,2
S4814953,C016886,Service Quality,25,4
S4316449,C016219,Billing,5,1
S9082961,C011989,App Issue,90,1
S7125075,C010449,Service Quality,131,5
S3094699,C019596,App Issue,195,2
S1918043,C014255,Billing,44,4
S5488836,C011031,App Issue,144,2
S8883305,C005755,Billing,79,5
S2086642,C011475,Billing,53,3
S2620610,C005797,Billing,67,2
S5111568,C018136,App Issue,6,4
S5047675,C006405,App Issue,98,3
S5348336,C012186,Membership Cancellation,155,5
S4327298,C018702,Membership Cancellation,122,2
S3678821,C004038,App Issue,34,1
S1991696,C006154,Billing,21,5
S2144375,C001123,Billing,57,2
S3853305,C001969,Service Quality,50,2
S6853065,C009880,App Issue,124,2
S8905708,C014014,Membership Cancellation,84,1
S6089867,C002549,App Issue,170,2
S8828820,C018000,Service Quality,198,2
S4018242,C000969,App Issue,129,1
S6275789,C010382,App Issue,219,3
S8029168,C016691,Membership Cancellation,163,5
S1159943,C009259,Service Quality,174,1
S3045243,C004563,Membership Cancellation,129,1
S4414563,C015517,Billing,165,1
S4939446,C014593,App Issue,87,3
S4388639,C012143,Membership Cancellation,66,3
S1116577,C019409,Membership Cancellation,88,4
S9509575,C019979,Membership Cancellation,192,1
S6202919,C018022,Service Quality,89,3
S1334170,C014522,Membership Cancellation,177,4
S8765476,C004095,Billing,179,1
S8199049,C002103,Membership Cancellation,56,1
S5361538,C000791,App Issue,122,4
S6461898,C013103,App Issue,177,1
S3255400,C017214,Billing,201,4
S8890712,C007973,Membership Cancellation,176,2
S8080011,C004163,Billing,185,4
S6528074,C007665,Billing,176,3
S9220579,C005727,Membership Cancellation,5,5
S6917796,C012659,Service Quality,65,5
S9458015,C018595,App Issue,101,1
S1421909,C011797,App Issue,147,4
S5735035,C018281,App Issue,10,5
S4051912,C018874,Membership Cancellation,179,4
S7836756,C011670,Billing,228,2
S7106288,C000469,Membership Cancellation,151,2
S2204127,C017998,Membership Cancellation,215,1
S4580905,C003449,Membership Cancellation,51,3
S4432727,C000315,App Issue,150,4
S8941041,C017272,App Issue,216,3
S1583441,C019088,Membership Cancellation,214,4
S8205821,C013405,Service Quality,225,5
S1536114,C005352,Membership Cancellation,133,2
S4050058,C011026,Service Quality,192,5
S8606842,C010548,Membership Cancellation,160,5
S2269875,C001036,Membership Cancellation,130,2
S6895276,C015177,Membership Cancellation,28,1
S6443837,C008664,Billing,113,4
S4123597,C003526,Service Quality,132,1
S9088467,C001975,App Issue,7,1
S6678232,C019812,Billing,86,5
S1251463,C014197,Service Quality,81,1
S7787794,C019424,Membership Cancellation,193,3
S2798448,C015922,Membership Cancellation,84,1
S7200241,C002366,Membership Cancellation,173,5
S1540275,C016991,Membership Cancellation,136,4
S1227710,C005568,App Issue,115,3
S6165901,C006205,Service Quality,41,1
S4295239,C015899,App Issue,204,4
S5136534,C013000,Service Quality,25,4
S8279512,C013848,App Issue,68,4
S7128676,C019665,App Issue,56,2
S2311401,C001272,App Issue,233,4
S2983084,C012579,Service Quality,115,5
S5999895,C008172,Membership Cancellation,120,3
S3642105,C002926,Membership Cancellation,138,3
S9990456,C001742,Service Quality,107,3
S4603876,C017413,App Issue,144,5
S6393688,C002052,Service Quality,60,3
S3285438,C017965,Membership Cancellation,70,3
S8415938,C004469,App Issue,186,4
S5973305,C012993,Service Quality,207,3
S2695971,C015065,App Issue,190,2
S6831688,C012797,Membership Cancellation,103,2
S8459690,C014648,Billing,12,3
S8097650,C019299,Service Quality,159,4
S9597542,C000470,Service Quality,69,3
S4035773,C000932,Billing,39,2
S6062733,C010748,Service Quality,220,3
S3936589,C008235,Billing,160,1
S2427396,C017039,Membership Cancellation,74,5
S8152965,C006676,App Issue,91,2
S5673912,C015673,Billing,64,4
S2559383,C003266,Service Quality,220,1
S4183591,C012586,Service Quality,65,3
S4690449,C011753,App Issue,203,5
S6837788,C011910,Billing,15,5
S5055837,C016317,Service Quality,109,1
S6319308,C001668,Service Quality,219,2
S9912300,C018684,Membership Cancellation,132,5
S9702827,C015288,Membership Cancellation,213,4
S8821583,C016352,Service Quality,87,2
S8001174,C009706,Billing,39,5
S1019922,C018106,Service Quality,160,2
S7949777,C003306,Billing,35,1
S6182317,C009055,Service Quality,201,2
S8675034,C011779,Billing,177,4
S3761509,C003329,Membership Cancellation,236,5
S6485023,C011063,Membership Cancellation,23,1
S8237749,C001675,Billing,45,1
S2300804,C005227,Service Quality,32,4
S7396604,C015949,Membership Cancellation,70,5
S1662365,C003232,Membership Cancellation,172,4
S8015806,C000100,Billing,66,5
S8110547,C019686,Service Quality,19,2
S8384377,C013421,Service Quality,114,5
S4389679,C015158,Membership Cancellation,60,4
S2213178,C015827,Membership Cancellation,144,2
S7055573,C008127,Service Quality,106,2
S3000644,C005250,App Issue,20,2
S2875732,C011320,App Issue,90,2
S6029486,C003331,Membership Cancellation,174,5
S7551142,C003184,Billing,169,2
S7230425,C005864,Membership Cancellation,212,1
S4958439,C000335,Membership Cancellation,182,3
S7075780,C009298,App Issue,239,2
S7448606,C006378,Service Quality,209,2
S6452258,C006579,Membership Cancellation,120,5
S2415213,C015810,Membership Cancellation,193,5
S4050001,C018277,Billing,149,1
S3174007,C015998,Billing,187,4
S6263359,C019678,Billing,98,1
S9989961,C010035,Service Quality,48,4
S1021063,C005459,App Issue,178,2
S8752809,C008849,Membership Cancellation,116,5
S8111614,C010999,Service Quality,149,4
S5478057,C002835,Service Quality,34,2
S3126500,C003207,Service Quality,206,5
S3513125,C003011,Billing,54,2
S3611288,C011366,Billing,127,5
S3453619,C011363,Service Quality,88,4
S3787418,C014528,Billing,79,5
S8306754,C010369,Billing,94,5
S6468162,C018870,Membership Cancellation,109,1
S8305073,C019001,Membership Cancellation,149,1
S1408091,C016229,Billing,37,1
S4835641,C010345,App Issue,189,3
S3301141,C016667,App Issue,51,5
S9035600,C008714,App Issue,165,5
S8286461,C012469,Billing,142,1
S7882395,C009854,App Issue,86,4
S4886783,C005498,Service Quality,184,4
S6556576,C012191,App Issue,69,4
S9447357,C016658,Membership Cancellation,62,1
S9252141,C001174,App Issue,44,3
S4848505,C004769,Membership Cancellation,234,2
S7034100,C010022,Billing,232,1
S7183065,C003309,App Issue,93,1
S3833098,C017417,Billing,73,4
S4015489,C015877,Billing,16,2
S7471167,C009953,Service Quality,149,4
S6760339,C012011,Membership Cancellation,175,3
S2791783,C003636,App Issue,229,2
S8407790,C011528,Membership Cancellation,238,3
S8739444,C008766,Service Quality,190,5
S1658846,C016388,App Issue,109,1
S8351412,C001855,Billing,52,3
S9634721,C010853,Service Quality,53,5
S1237952,C005009,Service Quality,37,1
S1210124,C019136,Billing,37,3
S9124732,C011886,Service Quality,79,3
S2740243,C008196,Membership Cancellation,104,2
S3817072,C011856,Billing,35,3
S9595820,C003054,Membership Cancellation,214,2
S1440191,C010733,App Issue,18,5
S4610685,C017826,Service Quality,68,1
S2379258,C014098,Service Quality,165,4
S2479739,C001541,Service Quality,164,3
S5013885,C006222,Service Quality,104,4
S2641591,C006964,Membership Cancellation,159,1
S2625464,C016637,Membership Cancellation,24,1
S6531802,C019604,Membership Cancellation,198,4
S8640205,C011532,App Issue,80,3
S6779707,C009550,App Issue,50,2
S7393257,C006949,Membership Cancellation,141,4
S8244510,C010065,Billing,125,3
S9275933,C006902,Membership Cancellation,54,3
S6676772,C018186,Service Quality,154,5
S8211378,C015516,Membership Cancellation,219,2
S9166441,C007692,Membership Cancellation,79,1
S1584567,C008625,Billing,110,4
S5961029,C017347,Membership Cancellation,195,4
S1072985,C014920,Membership Cancellation,26,5
S6171615,C018524,App Issue,209,1
S8833178,C012602,Service Quality,6,4
S7177007,C014947,Membership Cancellation,135,1
S1871880,C000111,Service Quality,83,1
S5506082,C001912,Billing,235,5
S3418192,C014511,App Issue,152,2
S7083220,C004207,Membership Cancellation,181,1
S5054391,C018059,Billing,108,5
S6769637,C015755,Membership Cancellation,57,4
S3944983,C009424,Billing,213,5
S6006514,C007946,App Issue,109,2
S7446200,C016432,Billing,96,3
S9016844,C003995,Billing,111,3
S7716192,C012161,Billing,105,3
S4037307,C019535,App Issue,237,3
S2404477,C016158,Billing,83,4
S7837238,C010213,Service Quality,150,3
S7456525,C016675,Service Quality,77,1
S6854129,C007920,Service Quality,84,5
S5578723,C002471,App Issue,107,1
S2583084,C008051,Billing,57,1
S4761012,C012949,Service Quality,213,3
S7087271,C018934,Service Quality,225,4
S8015139,C010794,Membership Cancellation,11,5
S4943287,C018935,App Issue,35,4
S5274515,C013325,Service Quality,139,3
S8168722,C006517,Membership Cancellation,112,5
S7774155,C001360,Service Quality,37,3
S1018870,C013413,Service Quality,124,2
S3852219,C013316,Billing,93,4
S6929574,C017571,Service Quality,104,1
S4078023,C013302,Billing,212,4
S6676015,C005427,App Issue,30,3
S5761553,C016877,Service Quality,29,3
S1998654,C011401,Billing,161,4
S5703510,C004482,Billing,121,1
S6663291,C009366,Service Quality,204,4
S7341274,C017642,Service Quality,108,4
S4873816,C009792,Membership Cancellation,94,2
S6355976,C010838,Billing,42,4
S5226494,C014021,Service Quality,232,5
S3778839,C006209,Membership Cancellation,75,1
S6364672,C009226,App Issue,40,2
S3801537,C019442,Service Quality,146,1
S8647316,C017269,App Issue,129,2
S8562021,C005956,App Issue,25,3
S1922897,C004378,Service Quality,27,1
S6219067,C018233,Service Quality,71,4
S4607229,C001475,Service Quality,48,4
S4424557,C015172,Billing,24,5
S6093314,C015135,Service Quality,132,5
S1552398,C009040,Membership Cancellation,68,3
S7490543,C008709,App Issue,138,2
S5876092,C018750,App Issue,123,2
S7190163,C016641,Service Quality,104,5
S2282883,C011974,Service Quality,129,2
S9131721,C005760,Billing,65,2
S1878069,C008967,Billing,207,3
S1624661,C019567,Service Quality,134,5
S9088882,C001413,App Issue,61,4
S9433537,C009208,Membership Cancellation,85,5
S4149757,C012803,Billing,219,2
S4917202,C010105,Billing,77,2
S6967946,C011434,Billing,108,4
S6489227,C015054,App Issue,90,5
S1474314,C016163,App Issue,85,4
S4040561,C014133,Service Quality,94,5
S3757775,C017870,Service Quality,188,2
S2149615,C016084,Membership Cancellation,230,2
S2795087,C008665,App Issue,181,1
S5333355,C001623,Membership Cancellation,121,1
S5067307,C013234,Service Quality,90,5
S4837561,C011328,Billing,236,5
S2385952,C019699,App Issue,76,1
S3827550,C001995,App Issue,166,2
S8105462,C017178,Membership Cancellation,135,1
S4465866,C002323,Service Quality,224,2
S7460501,C004380,App Issue,181,2
S9113499,C013242,App Issue,230,1
S7500526,C016380,Billing,82,5
S3555201,C017635,Billing,131,3
S9192902,C009517,Service Quality,79,5
S6422553,C007019,Billing,19,3
S9231567,C001454,App Issue,18,1
S7674504,C018117,Membership Cancellation,48,2
S5165610,C006035,Billing,73,1
S4941809,C016713,Membership Cancellation,49,4
S4580115,C009097,Membership Cancellation,222,1
S8113520,C001616,Service Quality,40,4
S9519548,C015493,Service Quality,204,3
S5136738,C003460,Billing,150,1
S1898078,C006147,Billing,9,5
S8445352,C002911,Service Quality,132,5
S4261553,C007115,App Issue,237,2
S1370246,C011932,Membership Cancellation,228,5
S8886100,C005139,App Issue,60,5
S4513292,C006122,Service Quality,224,3
S5368902,C008706,Billing,68,5
S2481265,C015400,Membership Cancellation,101,4
S6910663,C011104,Membership Cancellation,140,5
S8549657,C013173,App Issue,233,5
S6039008,C014099,Membership Cancellation,47,1
S9741800,C010150,Billing,12,1
S1027983,C012271,Membership Cancellation,130,3
S8334483,C005475,Membership Cancellation,48,3
S7840600,C019143,Service Quality,75,2
S6832157,C014545,App Issue,240,5
S6889167,C015139,App Issue,136,5
S5806671,C013515,Billing,109,3
S2915225,C002040,App Issue,158,1
S1182841,C009857,Billing,111,3
S8036484,C011140,Membership Cancellation,200,3
S2320898,C009820,Service Quality,143,3
S3583327,C014195,Billing,226,4
S2712984,C003123,Membership Cancellation,167,5
S6043257,C005129,App Issue,154,4
S4963536,C000441,Service Quality,84,3
S4425596,C006833,Service Quality,140,1
S4340709,C003659,Membership Cancellation,99,1
S5427080,C003804,App Issue,165,5
S4732561,C009290,App Issue,42,4
S7773625,C017689,Billing,66,3
S3022135,C018060,App Issue,176,2
S3673727,C014718,App Issue,139,1
S4474821,C009774,Billing,106,4
S3063880,C011100,App Issue,162,3
S7958556,C011098,Service Quality,57,4
S6283865,C005519,App Issue,19,2
S2709067,C011863,Service Quality,210,1
S6317264,C005146,Membership Cancellation,125,5
S2579985,C008357,Service Quality,85,4
S8114361,C010248,Service Quality,69,1
S6802509,C012053,Billing,21,2
S7338995,C018290,Service Quality,119,3
S8547627,C014298,Membership Cancellation,215,2
S5501164,C012535,Service Quality,18,3
S9207188,C019482,Service Quality,214,2
S6723732,C016925,App Issue,52,5
S3295151,C017932,App Issue,121,3
S9412374,C009840,Membership Cancellation,108,1
S2208658,C000281,Membership Cancellation,111,4
S9986078,C015350,Service Quality,18,2
S9093584,C007794,Billing,161,5
S7323300,C009827,Service Quality,168,3
S6354664,C003798,App Issue,173,2
S6310168,C012650,Service Quality,198,4
S1155794,C002993,Membership Cancellation,42,5
S4111470,C010775,Billing,171,3
S5524999,C016140,Service Quality,237,3
S9207936,C010183,App Issue,215,2
S6719835,C012906,Billing,208,4
S5713508,C019761,App Issue,47,1
S4529093,C019617,App Issue,15,3
S4954337,C019672,Service Quality,87,4
S1257251,C006549,Service Quality,129,4
S8775431,C015747,Billing,31,1
S3416543,C002988,Membership Cancellation,72,5
S1425477,C005123,App Issue,16,1
S9697171,C014131,Billing,79,5
S5736991,C014478,App Issue,213,5
S7505819,C000199,Membership Cancellation,186,5
S5231069,C001891,Membership Cancellation,183,2
S8165099,C016093,App Issue,77,2
S7993858,C002819,Service Quality,115,2
S4783016,C011344,Service Quality,189,4
S2481704,C014146,Membership Cancellation,60,4
S9531283,C004921,App Issue,9,5
S7552299,C008956,Service Quality,172,2
S3098770,C008577,Membership Cancellation,70,2
S7225619,C000761,App Issue,7,1
S5725962,C013797,Service Quality,34,4
S3883220,C012207,Billing,104,1
S6016282,C015028,Billing,80,2
S5969363,C018049,App Issue,149,1
S1083237,C019127,Membership Cancellation,113,3
S4854256,C009724,Service Quality,121,3
S3189406,C016448,Billing,17,1
S9531970,C006712,Service Quality,14,1
S5976950,C005044,Membership Cancellation,170,5
S2378927,C000404,Billing,43,2
S4837377,C008471,Billing,114,5
S3477107,C017565,Membership Cancellation,35,3
S3753828,C011260,Membership Cancellation,187,4
S2167014,C011727,Billing,118,2
S7641476,C017116,Service Quality,59,1
S6471878,C005816,App Issue,162,1
S4758523,C014077,Service Quality,151,4
S1712647,C013999,App Issue,40,4
S3160799,C008449,Billing,237,3
S1497822,C019959,Membership Cancellation,5,4
S7998781,C013561,App Issue,55,1
S1260271,C014608,App Issue,25,4
S1596028,C015331,Service Quality,157,1
S6715025,C008134,Membership Cancellation,193,3
S3164410,C016226,Membership Cancellation,149,2
