customer_id,signup_date,signup_channel,campaign,location_id,city,state,membership_type,age,income_band,vehicle_type
C000023,2024-02-05,Meta Ads,Campaign_9,L025,Atlanta,GA,Basic,51,<40k,Truck
C000024,2024-09-27,Organic,Campaign_2,L030,Birmingham,AL,None,41,75-100k,SUV
C000025,2022-04-29,Fundraising,Campaign_10,L003,Atlanta,GA,Premium,23,100k+,Sedan
C000026,2024-12-26,Fleet,Campaign_3,L022,Atlanta,GA,Unlimited,48,40-75k,Truck
C000027,2024-12-16,Organic,Campaign_7,L007,Orlando,FL,Unlimited,52,40-75k,Truck
C000028,2024-03-28,Google Ads,Campaign_11,L012,Charlotte,NC,None,46,100k+,Sedan
C000029,2023-05-23,Google Ads,Campaign_2,L011,Atlanta,GA,None,19,40-75k,SUV
C000030,2022-01-15,Meta Ads,Campaign_12,L021,Birmingham,AL,None,21,40-75k,Sedan
C000031,2022-03-06,Local Promo,Campaign_2,L017,Nashville,TN,None,33,75-100k,Van
C000032,2023-03-15,Meta Ads,Campaign_3,L024,Orlando,FL,Basic,54,100k+,SUV
C000033,2024-08-26,Google Ads,Campaign_4,L004,Dallas,TX,Premium,24,100k+,Truck
C000034,2024-05-17,Google Ads,Campaign_8,L028,Dallas,TX,Unlimited,64,<40k,Sedan
C000035,2022-05-05,Local Promo,Campaign_12,L011,Dallas,TX,None,69,<40k,SUV
C000036,2023-01-28,Google Ads,Campaign_9,L015,Atlanta,GA,Premium,26,100k+,SUV
C000037,2023-07-25,Referral,Campaign_4,L028,Dallas,TX,Premium,22,100k+,Sedan
C000038,2022-04-14,Local Promo,Campaign_9,L027,Charlotte,NC,None,18,<40k,SUV
C000039,2022-12-07,Meta Ads,Campaign_8,L016,Dallas,TX,None,31,100k+,Sedan
C000040,2022-12-04,Fleet,Campaign_1,L013,Dallas,TX,Basic,34,100k+,Truck
C000041,2024-05-16,Meta Ads,Campaign_12,L026,Charlotte,NC,None,53,100k+,SUV
C000042,2023-01-24,Meta Ads,Campaign_4,L002,Nashville,TN,None,55,<40k,Truck
C000043,2022-04-28,Referral,Campaign_10,L016,Birmingham,AL,Basic,50,40-75k,Sedan
C000044,2024-11-06,Fleet,Campaign_3,L003,Birmingham,AL,Basic,56,<40k,SUV
C000045,2024-04-06,Google Ads,Campaign_10,L008,Birmingham,AL,Premium,55,<40k,Sedan
C000046,2024-05-08,Local Promo,Campaign_10,L019,Charlotte,NC,Basic,51,75-100k,Truck
C000047,2023-02-23,Local Promo,Campaign_12,L011,Charlotte,NC,Basic,33,75-100k,Van
C000048,2022-09-26,Organic,Campaign_11,L010,Charlotte,NC,Basic,47,75-100k,Sedan
C000049,2022-01-20,Google Ads,Campaign_10,L019,Dallas,TX,None,24,<40k,SUV
C000050,2024-11-02,Google Ads,Campaign_3,L030,Nashville,TN,Basic,40,<40k,SUV
C000051,2024-01-27,Meta Ads,Campaign_3,L015,Nashville,TN,Basic,52,75-100k,Sedan
C000052,2025-09-29,Fleet,Campaign_5,L030,Orlando,FL,None,60,<40k,SUV
C000053,2023-06-26,Meta Ads,Campaign_2,L024,Birmingham,AL,Premium,53,40-75k,Truck
C000054,2023-08-01,Google Ads,Campaign_4,L023,Orlando,FL,None,39,40-75k,Truck
C000055,2024-11-01,Meta Ads,Campaign_5,L029,Dallas,TX,None,21,<40k,Van
C000056,2023-07-21,Fleet,Campaign_1,L011,Birmingham,AL,Premium,67,40-75k,Truck
C000057,2022-11-27,Referral,Campaign_8,L018,Charlotte,NC,Unlimited,63,100k+,Sedan
C000058,2022-08-18,Local Promo,Campaign_12,L029,Birmingham,AL,None,27,<40k,Truck
C000059,2025-04-07,Fleet,Campaign_3,L014,Orlando,FL,Basic,26,<40k,Truck
C000060,2024-01-17,Local Promo,Campaign_6,L007,Birmingham,AL,Unlimited,61,40-75k,Sedan
C000061,2023-12-26,Meta Ads,Campaign_7,L020,Orlando,FL,None,65,40-75k,SUV
C000062,2022-11-29,Google Ads,Campaign_7,L001,Atlanta,GA,Basic,29,75-100k,Van
C000063,2025-10-03,Local Promo,Campaign_4,L009,Charlotte,NC,Unlimited,28,<40k,Van
C000064,2022-03-21,Google Ads,Campaign_4,L007,Dallas,TX,Basic,70,100k+,Truck
C000065,2023-09-18,Meta Ads,Campaign_4,L001,Atlanta,GA,None,60,40-75k,Van
C000066,2023-11-04,Google Ads,Campaign_2,L025,Nashville,TN,None,35,75-100k,Van
C000067,2025-10-23,Fleet,Campaign_6,L001,Orlando,FL,None,25,75-100k,SUV
C000068,2025-04-04,Organic,Campaign_1,L004,Nashville,TN,Premium,56,100k+,Truck
C000069,2023-10-05,Meta Ads,Campaign_10,L017,Dallas,TX,Unlimited,25,100k+,SUV
C000070,2023-06-06,Fundraising,Campaign_12,L014,Birmingham,AL,None,18,40-75k,Truck
C000071,2024-06-02,Organic,Campaign_11,L030,Birmingham,AL,None,39,75-100k,Sedan
C000072,2023-09-08,Meta Ads,Campaign_5,L022,Orlando,FL,None,44,75-100k,Van
C000073,2025-11-28,Organic,Campaign_9,L005,Nashville,TN,Basic,30,100k+,Van
C000074,2025-10-19,Google Ads,Campaign_3,L020,Charlotte,NC,None,54,75-100k,Van
C000075,2025-01-27,Fleet,Campaign_5,L010,Birmingham,AL,None,31,100k+,Truck
C000076,2024-08-10,Google Ads,Campaign_8,L022,Dallas,TX,Basic,31,100k+,SUV
C000077,2025-09-11,Fundraising,Campaign_5,L017,Birmingham,AL,None,60,75-100k,Sedan
C000078,2023-04-27,Referral,Campaign_5,L008,Charlotte,NC,Premium,69,40-75k,SUV
C000079,2022-02-20,Google Ads,Campaign_4,L016,Birmingham,AL,Premium,57,<40k,Van
C000080,2024-04-28,Meta Ads,Campaign_10,L007,Charlotte,NC,Basic,63,100k+,Van
C000081,2024-03-29,Referral,Campaign_3,L021,Atlanta,GA,Basic,62,<40k,Sedan
C000082,2024-05-20,Google Ads,Campaign_3,L026,Atlanta,GA,Premium,62,100k+,Sedan
C000083,2025-02-15,Meta Ads,Campaign_2,L015,Atlanta,GA,None,26,100k+,Truck
C000084,2024-06-25,Google Ads,Campaign_12,L029,Orlando,FL,Basic,50,100k+,Van
C000085,2022-11-22,Referral,Campaign_8,L015,Charlotte,NC,None,34,40-75k,Truck
C000086,2024-12-03,Organic,Campaign_11,L008,Dallas,TX,None,35,100k+,Sedan
C000087,2023-08-09,Referral,Campaign_5,L011,Atlanta,GA,None,38,<40k,SUV
C000088,2022-11-05,Referral,Campaign_7,L023,Atlanta,GA,None,27,40-75k,Sedan
C000089,2024-04-29,Fleet,Campaign_6,L018,Dallas,TX,None,47,100k+,Sedan
C000090,2023-02-28,Meta Ads,Campaign_7,L029,Dallas,TX,None,67,<40k,Van
C000091,2024-09-03,Fleet,Campaign_6,L010,Birmingham,AL,Unlimited,66,100k+,Van
C000092,2025-01-07,Meta Ads,Campaign_12,L018,Charlotte,NC,Premium,69,40-75k,Van
C000093,2023-03-26,Local Promo,Campaign_7,L016,Nashville,TN,Basic,19,100k+,Truck
C000094,2025-10-01,Organic,Campaign_7,L024,Charlotte,NC,None,28,100k+,SUV
C000095,2025-06-28,Google Ads,Campaign_1,L030,Orlando,FL,Unlimited,43,<40k,Sedan
C000096,2025-08-09,Fleet,Campaign_3,L028,Dallas,TX,Basic,47,40-75k,Sedan
C000097,2023-06-17,Meta Ads,Campaign_6,L007,Dallas,TX,None,47,75-100k,Truck
C000098,2024-02-16,Referral,Campaign_7,L009,Nashville,TN,Unlimited,23,100k+,Sedan
C000099,2025-01-09,Fleet,Campaign_6,L008,Birmingham,AL,Premium,59,<40k,Sedan
C000100,2022-03-05,Referral,Campaign_4,L027,Atlanta,GA,None,19,40-75k,SUV
C000101,2022-09-16,Google Ads,Campaign_11,L004,Dallas,TX,Unlimited,54,40-75k,Van
C000102,2025-12-03,Organic,Campaign_6,L006,Nashville,TN,None,56,<40k,SUV
C000103,2023-09-30,Google Ads,Campaign_10,L001,Birmingham,AL,Premium,37,100k+,Van
C000104,2023-02-11,Google Ads,Campaign_10,L023,Birmingham,AL,None,58,40-75k,Sedan
C000105,2025-11-28,Organic,Campaign_11,L020,Nashville,TN,Premium,69,<40k,Sedan
C000106,2023-12-13,Referral,Campaign_7,L022,Orlando,FL,None,41,<40k,Truck
C000107,2022-01-26,Referral,Campaign_8,L004,Dallas,TX,None,45,75-100k,Van
C000108,2025-12-19,Meta Ads,Campaign_7,L006,Atlanta,GA,Premium,64,75-100k,Van
C000109,2024-08-10,Referral,Campaign_12,L019,Dallas,TX,Premium,35,75-100k,SUV
C000110,2022-06-27,Referral,Campaign_8,L008,Nashville,TN,Basic,66,100k+,Van
C000111,2023-11-20,Google Ads,Campaign_8,L028,Birmingham,AL,None,38,40-75k,Van
C000112,2023-03-11,Meta Ads,Campaign_5,L011,Nashville,TN,None,35,75-100k,Sedan
C000113,2024-11-24,Fundraising,Campaign_2,L008,Atlanta,GA,None,64,100k+,Van
C000114,2025-02-11,Fleet,Campaign_12,L016,Atlanta,GA,Basic,59,100k+,Van
C000115,2022-02-05,Local Promo,Campaign_5,L008,Birmingham,AL,Basic,43,40-75k,Truck
C000116,2025-09-21,Organic,Campaign_6,L016,Orlando,FL,Basic,53,75-100k,Van
C000117,2025-02-01,Google Ads,Campaign_6,L023,Nashville,TN,Premium,47,75-100k,Truck
C000118,2023-05-30,Meta Ads,Campaign_2,L024,Atlanta,GA,None,30,75-100k,Sedan
C000119,2025-01-02,Referral,Campaign_3,L007,Charlotte,NC,None,31,100k+,Truck
C000120,2025-04-22,Fleet,Campaign_10,L010,Orlando,FL,Unlimited,24,40-75k,Truck
C000121,2023-04-11,Fleet,Campaign_3,L010,Nashville,TN,None,18,40-75k,Truck
C000122,2022-04-04,Google Ads,Campaign_9,L010,Birmingham,AL,Unlimited,62,40-75k,Van
C000123,2022-07-30,Meta Ads,Campaign_10,L010,Birmingham,AL,Unlimited,48,100k+,Van
C000124,2023-11-29,Fundraising,Campaign_1,L009,Atlanta,GA,Unlimited,48,<40k,Sedan
C000125,2024-03-31,Meta Ads,Campaign_2,L019,Dallas,TX,None,58,<40k,SUV
C000126,2022-11-02,Fleet,Campaign_5,L003,Orlando,FL,None,33,<40k,Van
C000127,2025-05-26,Google Ads,Campaign_10,L008,Orlando,FL,Basic,67,100k+,Van
C000128,2024-06-25,Fleet,Campaign_10,L014,Nashville,TN,Premium,37,<40k,Sedan
C000129,2023-03-02,Organic,Campaign_4,L009,Charlotte,NC,None,60,<40k,SUV
C000130,2023-05-07,Organic,Campaign_9,L003,Atlanta,GA,Unlimited,28,<40k,Van
C000131,2024-07-11,Google Ads,Campaign_10,L016,Charlotte,NC,Basic,36,<40k,SUV
C000132,2023-08-14,Fleet,Campaign_5,L023,Charlotte,NC,Premium,47,<40k,SUV
C000133,2023-06-26,Referral,Campaign_10,L022,Charlotte,NC,Premium,69,40-75k,Van
C000134,2022-08-24,Meta Ads,Campaign_4,L021,Orlando,FL,None,27,75-100k,SUV
C000135,2022-05-27,Local Promo,Campaign_3,L026,Birmingham,AL,Premium,37,75-100k,Van
C000136,2022-09-12,Fleet,Campaign_12,L010,Dallas,TX,Unlimited,62,100k+,Truck
C000137,2024-10-21,Organic,Campaign_8,L015,Orlando,FL,Basic,23,<40k,Van
C000138,2023-10-23,Local Promo,Campaign_5,L001,Orlando,FL,Basic,23,40-75k,Sedan
C000139,2025-10-08,Referral,Campaign_10,L002,Nashville,TN,Premium,66,40-75k,Van
C000140,2024-11-28,Fleet,Campaign_8,L030,Charlotte,NC,None,35,40-75k,Van
C000141,2025-07-24,Meta Ads,Campaign_2,L016,Dallas,TX,None,40,100k+,Truck
C000142,2023-10-20,Organic,Campaign_2,L028,Charlotte,NC,None,28,75-100k,Van
C000143,2025-11-21,Organic,Campaign_5,L022,Dallas,TX,Basic,43,<40k,Van
C000144,2022-06-30,Meta Ads,Campaign_5,L011,Nashville,TN,Basic,25,100k+,Sedan
C000145,2025-09-08,Google Ads,Campaign_8,L014,Orlando,FL,None,21,40-75k,Truck
C000146,2025-06-29,Local Promo,Campaign_11,L015,Dallas,TX,None,66,<40k,SUV
C000147,2023-07-01,Google Ads,Campaign_3,L030,Orlando,FL,Basic,36,100k+,Van
C000148,2022-09-06,Local Promo,Campaign_11,L020,Birmingham,AL,None,69,40-75k,SUV
C000149,2023-09-29,Organic,Campaign_1,L018,Orlando,FL,None,44,<40k,SUV
C000150,2022-08-21,Google Ads,Campaign_2,L021,Dallas,TX,Basic,27,100k+,Truck
C000151,2024-11-08,Organic,Campaign_5,L014,Charlotte,NC,Basic,48,100k+,SUV
C000152,2024-07-24,Referral,Campaign_3,L013,Orlando,FL,Unlimited,30,40-75k,Sedan
C000153,2023-07-20,Organic,Campaign_6,L030,Dallas,TX,None,68,75-100k,Sedan
C000154,2023-08-03,Local Promo,Campaign_5,L027,Charlotte,NC,None,55,100k+,SUV
C000155,2024-07-03,Meta Ads,Campaign_8,L012,Orlando,FL,None,39,100k+,Van
C000156,2023-10-22,Google Ads,Campaign_12,L008,Atlanta,GA,Unlimited,54,100k+,SUV
C000157,2024-04-21,Local Promo,Campaign_6,L024,Birmingham,AL,Premium,48,100k+,Van
C000158,2025-09-21,Meta Ads,Campaign_3,L016,Charlotte,NC,None,20,40-75k,Truck
C000159,2022-07-25,Google Ads,Campaign_2,L017,Dallas,TX,None,47,<40k,SUV
C000160,2024-04-19,Organic,Campaign_3,L003,Charlotte,NC,Premium,48,75-100k,Truck
C000161,2025-06-30,Referral,Campaign_7,L021,Charlotte,NC,None,23,75-100k,Van
C000162,2023-10-11,Fundraising,Campaign_12,L029,Charlotte,NC,Premium,66,100k+,Sedan
C000163,2025-06-18,Organic,Campaign_4,L021,Birmingham,AL,Basic,61,75-100k,SUV
C000164,2022-07-05,Meta Ads,Campaign_2,L025,Dallas,TX,None,58,<40k,Van
C000165,2022-12-07,Meta Ads,Campaign_5,L029,Charlotte,NC,Premium,19,<40k,Truck
C000166,2022-04-25,Google Ads,Campaign_6,L012,Nashville,TN,None,45,40-75k,SUV
C000167,2024-12-23,Google Ads,Campaign_10,L022,Dallas,TX,None,68,40-75k,SUV
C000168,2022-12-25,Fleet,Campaign_10,L028,Birmingham,AL,Premium,42,40-75k,Van
C000169,2025-04-09,Organic,Campaign_4,L015,Atlanta,GA,None,58,75-100k,Van
C000170,2023-06-07,Organic,Campaign_1,L029,Charlotte,NC,Basic,69,100k+,Truck
C000171,2025-10-19,Google Ads,Campaign_3,L003,Orlando,FL,Basic,46,75-100k,Truck
C000172,2025-08-01,Meta Ads,Campaign_12,L009,Dallas,TX,Basic,47,75-100k,SUV
C000173,2024-02-27,Referral,Campaign_2,L008,Dallas,TX,None,42,75-100k,Truck
C000174,2025-12-03,Meta Ads,Campaign_1,L027,Nashville,TN,Basic,60,100k+,Truck
C000175,2022-01-17,Organic,Campaign_11,L025,Orlando,FL,Unlimited,65,<40k,Van
C000176,2023-08-10,Referral,Campaign_10,L026,Atlanta,GA,None,40,40-75k,SUV
C000177,2025-06-25,Google Ads,Campaign_11,L025,Nashville,TN,Basic,64,40-75k,Sedan
C000178,2025-07-09,Google Ads,Campaign_1,L010,Charlotte,NC,Basic,68,100k+,Sedan
C000179,2025-04-01,Fleet,Campaign_12,L005,Nashville,TN,Basic,23,75-100k,Truck
C000180,2024-04-30,Meta Ads,Campaign_4,L005,Atlanta,GA,Basic,68,75-100k,Truck
C000181,2022-12-03,Organic,Campaign_8,L026,Nashville,TN,Basic,36,75-100k,Sedan
C000182,2024-08-17,Fleet,Campaign_3,L025,Birmingham,AL,None,32,100k+,Truck
C000183,2022-07-04,Fundraising,Campaign_1,L009,Dallas,TX,Unlimited,52,<40k,Van
C000184,2024-01-25,Google Ads,Campaign_12,L022,Charlotte,NC,None,34,100k+,Truck
C000185,2022-08-10,Google Ads,Campaign_4,L016,Charlotte,NC,None,19,75-100k,SUV
C000186,2025-08-19,Google Ads,Campaign_11,L027,Birmingham,AL,Premium,47,75-100k,Van
C000187,2022-08-27,Google Ads,Campaign_1,L002,Atlanta,GA,None,37,100k+,Sedan
C000188,2022-07-19,Local Promo,Campaign_9,L005,Atlanta,GA,None,42,100k+,Truck
C000189,2025-10-05,Local Promo,Campaign_12,L018,Charlotte,NC,None,44,40-75k,Van
C000190,2025-09-03,Google Ads,Campaign_8,L020,Birmingham,AL,Premium,44,75-100k,Sedan
C000191,2025-11-14,Organic,Campaign_4,L015,Nashville,TN,Unlimited,46,40-75k,Truck
C000192,2022-07-23,Referral,Campaign_6,L018,Charlotte,NC,Premium,59,75-100k,Sedan
C000193,2024-03-26,Meta Ads,Campaign_4,L004,Nashville,TN,None,70,100k+,Sedan
C000194,2025-09-19,Local Promo,Campaign_11,L021,Atlanta,GA,Premium,56,<40k,Sedan
C000195,2023-11-15,Fundraising,Campaign_3,L026,Atlanta,GA,Basic,54,40-75k,Sedan
C000196,2025-02-09,Meta Ads,Campaign_10,L007,Atlanta,GA,Premium,70,40-75k,Truck
C000197,2022-10-30,Meta Ads,Campaign_1,L009,Orlando,FL,Unlimited,27,40-75k,Truck
C000198,2022-12-24,Fleet,Campaign_11,L028,Birmingham,AL,Basic,19,40-75k,Sedan
C000199,2024-01-04,Local Promo,Campaign_10,L011,Atlanta,GA,Premium,19,40-75k,Truck
C000200,2022-04-18,Google Ads,Campaign_12,L014,Atlanta,GA,Unlimited,51,<40k,Sedan
C000201,2024-09-02,Organic,Campaign_6,L017,Dallas,TX,Premium,55,<40k,Van
C000202,2024-10-28,Meta Ads,Campaign_10,L002,Atlanta,GA,Unlimited,64,75-100k,Van
C000203,2025-08-10,Meta Ads,Campaign_1,L016,Birmingham,AL,None,43,100k+,Sedan
C000204,2024-10-01,Fleet,Campaign_8,L003,Charlotte,NC,None,23,75-100k,SUV
C000205,2022-05-15,Meta Ads,Campaign_5,L020,Atlanta,GA,Unlimited,58,75-100k,Van
C000206,2025-05-08,Fundraising,Campaign_5,L015,Orlando,FL,Basic,50,100k+,Sedan
C000207,2025-12-08,Referral,Campaign_11,L021,Birmingham,AL,Basic,67,40-75k,Van
C000208,2024-07-13,Meta Ads,Campaign_7,L011,Atlanta,GA,None,70,100k+,Van
C000209,2024-05-01,Referral,Campaign_2,L011,Charlotte,NC,Premium,45,75-100k,Truck
C000210,2024-02-06,Local Promo,Campaign_11,L030,Atlanta,GA,Premium,48,<40k,Sedan
C000211,2022-06-24,Google Ads,Campaign_7,L004,Birmingham,AL,Basic,65,75-100k,SUV
C000212,2025-02-13,Google Ads,Campaign_10,L018,Birmingham,AL,Basic,53,75-100k,Sedan
C000213,2024-04-21,Meta Ads,Campaign_11,L025,Nashville,TN,Unlimited,45,<40k,Truck
C000214,2025-05-14,Meta Ads,Campaign_6,L004,Nashville,TN,None,54,40-75k,SUV
C000215,2025-09-06,Google Ads,Campaign_4,L028,Dallas,TX,Premium,24,75-100k,Truck
C000216,2022-08-24,Organic,Campaign_10,L008,Nashville,TN,None,69,100k+,Sedan
C000217,2025-06-01,Google Ads,Campaign_12,L009,Charlotte,NC,Premium,19,40-75k,Truck
C000218,2025-12-10,Google Ads,Campaign_6,L012,Nashville,TN,Premium,18,40-75k,SUV
C000219,2025-03-05,Referral,Campaign_7,L003,Charlotte,NC,None,27,<40k,Sedan
C000220,2024-12-22,Google Ads,Campaign_7,L014,Atlanta,GA,Unlimited,47,75-100k,SUV
C000221,2024-01-28,Meta Ads,Campaign_12,L011,Nashville,TN,None,67,<40k,Sedan
C000222,2022-11-15,Local Promo,Campaign_10,L002,Atlanta,GA,Unlimited,61,<40k,Truck
C000223,2024-06-26,Fundraising,Campaign_7,L016,Charlotte,NC,Premium,56,100k+,Van
C000224,2023-07-14,Meta Ads,Campaign_9,L004,Atlanta,GA,None,40,100k+,Sedan
C000225,2023-08-04,Local Promo,Campaign_11,L019,Charlotte,NC,Basic,49,75-100k,Sedan
C000226,2023-03-28,Meta Ads,Campaign_10,L002,Dallas,TX,Unlimited,18,40-75k,Truck
C000227,2023-03-09,Google Ads,Campaign_5,L010,Atlanta,GA,Basic,38,<40k,Sedan
C000228,2024-10-15,Google Ads,Campaign_7,L006,Charlotte,NC,Basic,26,100k+,SUV
C000229,2024-10-21,Google Ads,Campaign_11,L026,Orlando,FL,None,40,<40k,Van
C000230,2022-03-28,Google Ads,Campaign_1,L015,Dallas,TX,Basic,22,75-100k,Van
C000231,2025-03-20,Referral,Campaign_12,L021,Dallas,TX,Basic,44,75-100k,Sedan
C000232,2024-04-09,Fundraising,Campaign_6,L006,Birmingham,AL,None,69,100k+,Truck
C000233,2022-06-30,Meta Ads,Campaign_2,L008,Dallas,TX,Unlimited,45,100k+,Sedan
C000234,2024-03-21,Google Ads,Campaign_12,L011,Nashville,TN,Unlimited,32,75-100k,SUV
C000235,2022-06-06,Google Ads,Campaign_11,L004,Orlando,FL,Unlimited,51,40-75k,Truck
C000236,2023-12-21,Google Ads,Campaign_11,L027,Charlotte,NC,Unlimited,27,40-75k,Sedan
C000237,2022-10-27,Organic,Campaign_4,L006,Nashville,TN,Unlimited,56,40-75k,Sedan
C000238,2022-12-29,Google Ads,Campaign_8,L015,Charlotte,NC,Basic,66,100k+,Truck
C000239,2025-07-08,Fundraising,Campaign_3,L015,Nashville,TN,Basic,22,100k+,Van
C000240,2025-07-17,Organic,Campaign_5,L019,Nashville,TN,Premium,21,75-100k,Sedan
C000241,2023-09-28,Organic,Campaign_8,L002,Dallas,TX,Basic,21,75-100k,Truck
C000242,2022-06-07,Organic,Campaign_2,L020,Charlotte,NC,Unlimited,56,100k+,Van
C000243,2025-04-03,Google Ads,Campaign_12,L029,Orlando,FL,None,20,100k+,SUV
C000244,2023-10-21,Fundraising,Campaign_8,L017,Orlando,FL,Unlimited,27,<40k,Van
C000245,2022-07-31,Organic,Campaign_12,L003,Nashville,TN,Basic,50,40-75k,Sedan
C000246,2023-05-23,Meta Ads,Campaign_8,L015,Charlotte,NC,None,51,40-75k,Truck
C000247,2024-02-03,Organic,Campaign_7,L014,Nashville,TN,None,67,75-100k,Sedan
C000248,2025-07-16,Organic,Campaign_6,L003,Charlotte,NC,None,39,<40k,Van
C000249,2023-08-05,Fundraising,Campaign_12,L028,Nashville,TN,Unlimited,60,40-75k,Truck
C000250,2022-06-16,Referral,Campaign_11,L005,Orlando,FL,Basic,40,75-100k,Van
C000251,2022-09-22,Meta Ads,Campaign_12,L003,Orlando,FL,Premium,37,100k+,Truck
C000252,2022-09-19,Referral,Campaign_12,L027,Charlotte,NC,None,65,<40k,Van
C000253,2024-11-07,Fleet,Campaign_1,L012,Nashville,TN,Premium,37,40-75k,SUV
C000254,2023-12-01,Fleet,Campaign_4,L008,Dallas,TX,Premium,26,40-75k,Sedan
C000255,2023-08-29,Organic,Campaign_9,L025,Birmingham,AL,Basic,52,<40k,Truck
C000256,2025-06-19,Fleet,Campaign_10,L013,Atlanta,GA,Unlimited,27,40-75k,SUV
C000257,2025-11-19,Google Ads,Campaign_3,L024,Orlando,FL,None,46,<40k,Van
C000258,2024-01-17,Meta Ads,Campaign_12,L008,Charlotte,NC,Premium,46,75-100k,Van
C000259,2023-04-25,Fundraising,Campaign_4,L010,Orlando,FL,None,69,100k+,SUV
C000260,2024-01-24,Organic,Campaign_10,L015,Charlotte,NC,None,47,75-100k,Van
C000261,2024-10-26,Fundraising,Campaign_7,L006,Orlando,FL,Premium,70,40-75k,SUV
C000262,2023-05-28,Local Promo,Campaign_11,L016,Birmingham,AL,Basic,41,<40k,Sedan
C000263,2023-08-07,Meta Ads,Campaign_3,L009,Birmingham,AL,None,46,40-75k,Van
C000264,2022-07-07,Google Ads,Campaign_8,L029,Atlanta,GA,Unlimited,40,<40k,Van
C000265,2022-04-20,Local Promo,Campaign_9,L012,Dallas,TX,Unlimited,33,100k+,Sedan
C000266,2024-02-07,Fundraising,Campaign_1,L011,Atlanta,GA,Basic,24,75-100k,SUV
C000267,2022-10-09,Local Promo,Campaign_5,L030,Birmingham,AL,Unlimited,48,40-75k,Van
C000268,2024-07-07,Local Promo,Campaign_1,L029,Orlando,FL,None,23,<40k,Truck
C000269,2023-03-18,Organic,Campaign_9,L024,Atlanta,GA,None,56,100k+,Sedan
C000270,2023-08-14,Fundraising,Campaign_5,L004,Atlanta,GA,Basic,21,40-75k,Van
C000271,2025-08-01,Google Ads,Campaign_8,L003,Orlando,FL,Premium,25,100k+,Sedan
C000272,2025-07-18,Organic,Campaign_10,L008,Orlando,FL,None,63,40-75k,Truck
C000273,2024-05-29,Google Ads,Campaign_10,L012,Birmingham,AL,Premium,33,100k+,SUV
C000274,2025-09-22,Organic,Campaign_2,L017,Charlotte,NC,Premium,41,<40k,Sedan
C000275,2024-03-10,Organic,Campaign_1,L021,Dallas,TX,Unlimited,42,75-100k,Truck
C000276,2022-02-03,Organic,Campaign_2,L012,Nashville,TN,Basic,33,<40k,Truck
C000277,2022-10-01,Fleet,Campaign_6,L018,Birmingham,AL,Basic,39,40-75k,Van
C000278,2025-11-25,Google Ads,Campaign_11,L006,Dallas,TX,None,69,40-75k,Sedan
C000279,2024-07-26,Local Promo,Campaign_5,L007,Birmingham,AL,Basic,20,40-75k,Sedan
C000280,2023-10-09,Referral,Campaign_9,L013,Nashville,TN,None,70,100k+,Truck
C000281,2022-03-16,Google Ads,Campaign_4,L010,Charlotte,NC,None,40,<40k,Truck
C000282,2023-07-14,Meta Ads,Campaign_6,L014,Birmingham,AL,Basic,43,100k+,Van
